id,date,tweet,retweet_count,like_count
1346358147749969921,2021-01-05 07:29:31+00:00,"Zanim u nas osądzą i skarzą artystów za #szczepionka, to Izrael zaszczepi swoich obywateli dwa razy! 😂🤣😂🤦‍♂️ #Covid_19 #SzczepimySię",0,1
1346270031559143428,2021-01-05 01:39:22+00:00,"To tak na dzień dobry. Królująca w mediach szczepionka na COVID to niewątpliwie trudny temat. Pomimo, iż znam obrane w tym temacie stanowisko od lat popieranych przeze mnie organizacji oraz wiem, że nieprędko otrzymam możliwość zaszczepienia się - ufam Pfizerowi. #szczepimysie",0,0
1346212889334587392,2021-01-04 21:52:18+00:00,"Jutro o godz. 10:00 w #Sejmie odbędzie się Komisja Zdrowia
- Informacja Ministra Zdrowia @a_niedzielski na temat stanu realizacji Narodowego Programu Szczepień przeciw COVID-19
#szczepionka #szczepimysie #Szczepienia #aferaszczepionkowa",0,0
1346143854290878464,2021-01-04 17:17:59+00:00,"odejdź covid-19. szczepienia trwają
#szczepimysie #szczepionka #szczepimysię #COVID19 #koronawirus😎😎😎",0,2
1346138412693282819,2021-01-04 16:56:22+00:00,"Do tej pory nie byłam zdecydowana czy szczepić sie czy tez nie przeciwko COVID – 19.
Dzisiaj wiem na 100%, że zarówno ja, jak i moja rodzina, gdy tylko będzie nasza kolejka- zaszczepimy się.
#szczepimysie",1,7
1346080987533471746,2021-01-04 13:08:11+00:00,"Aktor Radosław Pazur przyjął poza kolejnością szczepionkę przeciwko COVID-19 w Szpitalu WUM – poinformował  portal Polsat News.

Brat Radosława, Cezary Pazura jest ambasadorem akcji #SzczepimySię.

Żona Cezarego informowała na Instagramie, że on czeka, jak każdy inny.",0,2
1346064444753899522,2021-01-04 12:02:26+00:00,"to sie tak da? mozna tak?

""...Cezary Pazura jest ambasadorem oficjalnej akcji informacyjnej ""Szczepimy się"", której organizatorem nie jest WUM. Cezary nie został zaszczepiony na COVID-19 i czeka jak każdy obywatel na swoją kolej....""",1,34
1346040210971389953,2021-01-04 10:26:09+00:00,".@michaldworczyk dziś na stronie #szczepimysie opublikujemy listę podmiotów, które będą wykonywać szczepienia przeciwko COVID-19 w kolejnej fazie szczepień, obejmują one swoim zasięgiem ponad 96 proc. gmin w PL",0,0
1345833141693526017,2021-01-03 20:43:20+00:00,"...zaliczanie do ofiar covida zgonów z wielu różnych przyczyn. Jest to oszustwo medyczne praktykowane w wielu krajach
prof. Maria Majewska

#Covid_19 #Pfizer #szczepionka #SzczepimySię #Szczepienia #Plandemia",0,1
1345832554876833793,2021-01-03 20:41:00+00:00,"Pandemia opiera się głównie na fałszywych testach i niewiele różni się od epizodów grypy i zapalenia płuc poprzednich lat. Różnica polega na tym, że przedtem należycie leczono chorych
prof. Maria Majewska

#szczepionka #Pfizer #Covid_19 #Szczepienia #SzczepimySię #Plandemia",2,4
